average                                             I frame                                             P frame                                             B frame
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
372.70        	33.297  	37.782  	37.738  	5102.40       	35.680  	38.938  	39.559  	0.00          	0.000   	0.000   	0.000   	298.80        	33.260  	37.764  	37.710  	BasketballDrillText_37
8183.03       	40.302  	44.546  	45.517  	80059.68      	42.172  	45.475  	46.310  	0.00          	0.000   	0.000   	0.000   	7059.96       	40.273  	44.532  	45.504  	MarketPlace_22
3606.86       	39.027  	43.577  	44.607  	43049.28      	40.528  	44.074  	45.067  	0.00          	0.000   	0.000   	0.000   	2990.57       	39.004  	43.569  	44.600  	MarketPlace_27
1690.10       	37.242  	42.435  	43.369  	24134.88      	38.836  	42.885  	43.759  	0.00          	0.000   	0.000   	0.000   	1339.40       	37.217  	42.428  	43.363  	MarketPlace_32
845.08        	35.224  	41.119  	42.205  	12949.92      	36.789  	41.043  	42.098  	0.00          	0.000   	0.000   	0.000   	655.94        	35.200  	41.121  	42.207  	MarketPlace_37
11332.44      	39.600  	44.759  	46.311  	55152.00      	41.139  	45.845  	47.939  	0.00          	0.000   	0.000   	0.000   	10647.76      	39.576  	44.742  	46.285  	BasketballDrive_22
4962.51       	38.488  	43.692  	44.447  	26439.36      	39.869  	44.934  	46.477  	0.00          	0.000   	0.000   	0.000   	4626.93       	38.466  	43.673  	44.416  	BasketballDrive_27
2471.70       	36.990  	42.475  	42.623  	14627.52      	38.830  	43.882  	44.760  	0.00          	0.000   	0.000   	0.000   	2281.77       	36.961  	42.453  	42.590  	BasketballDrive_32
1307.45       	35.197  	41.202  	40.793  	8301.60       	37.513  	42.168  	42.411  	0.00          	0.000   	0.000   	0.000   	1198.16       	35.161  	41.187  	40.768  	BasketballDrive_37
23284.64      	37.732  	43.065  	45.377  	178549.44     	41.414  	43.813  	45.743  	0.00          	0.000   	0.000   	0.000   	20858.63      	37.674  	43.053  	45.371  	BQTerrace_22
4702.53       	35.731  	41.876  	44.202  	100969.92     	38.160  	42.137  	44.234  	0.00          	0.000   	0.000   	0.000   	3198.35       	35.693  	41.872  	44.201  	BQTerrace_27
1906.91       	34.251  	40.537  	42.942  	60011.52      	35.897  	40.642  	42.920  	0.00          	0.000   	0.000   	0.000   	999.03        	34.225  	40.535  	42.942  	BQTerrace_32
887.96        	32.478  	38.405  	40.800  	34440.96      	33.480  	38.433  	40.753  	0.00          	0.000   	0.000   	0.000   	363.69        	32.462  	38.405  	40.801  	BQTerrace_37
7592.51       	46.142  	48.464  	49.117  	32905.92      	48.744  	50.712  	51.452  	0.00          	0.000   	0.000   	0.000   	7196.98       	46.102  	48.429  	49.080  	RitualDance_22
3899.99       	43.093  	46.260  	46.488  	19566.72      	46.909  	48.971  	49.610  	0.00          	0.000   	0.000   	0.000   	3655.20       	43.033  	46.217  	46.439  	RitualDance_27
2090.10       	40.018  	44.477  	44.302  	11620.32      	44.703  	47.249  	47.503  	0.00          	0.000   	0.000   	0.000   	1941.19       	39.944  	44.434  	44.251  	RitualDance_32
1152.90       	37.125  	42.543  	42.614  	6860.64       	42.152  	44.555  	45.363  	0.00          	0.000   	0.000   	0.000   	1063.72       	37.046  	42.511  	42.572  	RitualDance_37
