average                                             I frame                                             P frame                                             B frame
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
11340.04      	39.600  	44.764  	46.325  	55152.00      	41.139  	45.845  	47.939  	0.00          	0.000   	0.000   	0.000   	10655.48      	39.576  	44.747  	46.299  	BasketballDrive_22
4965.83       	38.486  	43.689  	44.456  	26439.36      	39.869  	44.934  	46.477  	0.00          	0.000   	0.000   	0.000   	4630.31       	38.465  	43.670  	44.424  	BasketballDrive_27
2478.73       	36.990  	42.470  	42.646  	14627.52      	38.830  	43.882  	44.760  	0.00          	0.000   	0.000   	0.000   	2288.90       	36.961  	42.448  	42.613  	BasketballDrive_32
1305.95       	35.191  	41.209  	40.786  	8301.60       	37.513  	42.168  	42.411  	0.00          	0.000   	0.000   	0.000   	1196.65       	35.155  	41.194  	40.760  	BasketballDrive_37
23277.05      	37.732  	43.068  	45.370  	178549.44     	41.414  	43.813  	45.743  	0.00          	0.000   	0.000   	0.000   	20850.92      	37.675  	43.056  	45.364  	BQTerrace_22
4690.45       	35.728  	41.879  	44.207  	100969.92     	38.160  	42.137  	44.234  	0.00          	0.000   	0.000   	0.000   	3186.08       	35.690  	41.875  	44.207  	BQTerrace_27
1907.08       	34.250  	40.544  	42.951  	60011.52      	35.897  	40.642  	42.920  	0.00          	0.000   	0.000   	0.000   	999.20        	34.225  	40.543  	42.951  	BQTerrace_32
886.09        	32.475  	38.414  	40.788  	34440.96      	33.480  	38.433  	40.753  	0.00          	0.000   	0.000   	0.000   	361.79        	32.460  	38.414  	40.789  	BQTerrace_37
11466.32      	38.460  	40.114  	44.103  	131731.20     	40.376  	41.376  	45.234  	0.00          	0.000   	0.000   	0.000   	9587.18       	38.430  	40.095  	44.085  	Cactus_22
4651.42       	37.107  	39.481  	42.513  	68723.52      	38.557  	40.002  	43.568  	0.00          	0.000   	0.000   	0.000   	3650.30       	37.084  	39.473  	42.496  	Cactus_27
2254.95       	35.390  	38.712  	40.898  	39442.08      	36.960  	39.198  	41.961  	0.00          	0.000   	0.000   	0.000   	1673.90       	35.365  	38.705  	40.881  	Cactus_32
1125.32       	33.328  	37.433  	38.877  	21929.76      	34.987  	37.793  	39.431  	0.00          	0.000   	0.000   	0.000   	800.25        	33.303  	37.427  	38.869  	Cactus_37
7601.66       	46.141  	48.474  	49.121  	32905.92      	48.744  	50.712  	51.452  	0.00          	0.000   	0.000   	0.000   	7206.28       	46.101  	48.439  	49.085  	RitualDance_22
3903.57       	43.093  	46.279  	46.486  	19566.72      	46.909  	48.971  	49.610  	0.00          	0.000   	0.000   	0.000   	3658.83       	43.033  	46.236  	46.438  	RitualDance_27
2092.20       	40.032  	44.489  	44.319  	11620.32      	44.703  	47.249  	47.503  	0.00          	0.000   	0.000   	0.000   	1943.33       	39.959  	44.446  	44.270  	RitualDance_32
1153.65       	37.121  	42.537  	42.602  	6860.64       	42.152  	44.555  	45.363  	0.00          	0.000   	0.000   	0.000   	1064.47       	37.042  	42.505  	42.559  	RitualDance_37
9250.76       	45.399  	50.610  	51.872  	46578.72      	45.983  	50.980  	52.691  	0.00          	0.000   	0.000   	0.000   	8667.51       	45.390  	50.604  	51.859  	FoodMarket4_22
4755.23       	44.576  	49.403  	50.129  	26061.12      	45.508  	49.957  	51.287  	0.00          	0.000   	0.000   	0.000   	4422.33       	44.561  	49.394  	50.111  	FoodMarket4_27
2508.16       	43.226  	47.944  	48.240  	16539.84      	44.891  	48.659  	49.550  	0.00          	0.000   	0.000   	0.000   	2288.91       	43.200  	47.933  	48.220  	FoodMarket4_32
1380.27       	41.422  	46.535  	46.399  	10522.56      	43.789  	46.801  	47.165  	0.00          	0.000   	0.000   	0.000   	1237.42       	41.386  	46.531  	46.387  	FoodMarket4_37
17745.16      	40.313  	49.521  	47.550  	137680.80     	41.519  	49.994  	49.081  	0.00          	0.000   	0.000   	0.000   	15871.17      	40.294  	49.514  	47.526  	Tango2_22
7542.52       	39.747  	48.713  	46.377  	52120.32      	40.522  	49.267  	47.878  	0.00          	0.000   	0.000   	0.000   	6845.99       	39.735  	48.704  	46.354  	Tango2_27
3944.04       	38.858  	47.544  	44.906  	29743.68      	39.954  	48.368  	46.604  	0.00          	0.000   	0.000   	0.000   	3540.92       	38.841  	47.531  	44.880  	Tango2_32
2240.99       	37.585  	46.446  	43.515  	17455.20      	39.128  	46.919  	44.764  	0.00          	0.000   	0.000   	0.000   	2003.27       	37.561  	46.438  	43.495  	Tango2_37
107069.21     	39.250  	41.224  	42.119  	376155.84     	43.270  	46.657  	44.153  	0.00          	0.000   	0.000   	0.000   	102864.74     	39.187  	41.139  	42.087  	Campfire_22
31454.94      	37.263  	37.824  	40.442  	170690.40     	40.123  	43.333  	42.315  	0.00          	0.000   	0.000   	0.000   	29279.38      	37.219  	37.737  	40.413  	Campfire_27
16573.16      	35.872  	35.823  	39.063  	72741.12      	38.158  	40.358  	40.783  	0.00          	0.000   	0.000   	0.000   	15695.53      	35.836  	35.752  	39.036  	Campfire_32
8769.50       	34.196  	33.739  	37.468  	36342.72      	36.873  	37.463  	38.782  	0.00          	0.000   	0.000   	0.000   	8338.67       	34.154  	33.681  	37.447  	Campfire_37
17714.50      	40.268  	41.903  	43.691  	233227.20     	41.509  	42.393  	44.465  	0.00          	0.000   	0.000   	0.000   	14347.12      	40.248  	41.895  	43.679  	CatRobot_22
8236.84       	39.558  	41.411  	42.635  	114010.08     	40.364  	41.785  	43.403  	0.00          	0.000   	0.000   	0.000   	6584.14       	39.546  	41.405  	42.623  	CatRobot_27
4183.72       	38.395  	40.715  	41.287  	66954.24      	39.396  	41.150  	42.188  	0.00          	0.000   	0.000   	0.000   	3202.93       	38.379  	40.708  	41.273  	CatRobot_32
2289.19       	36.819  	39.858  	39.695  	39547.20      	37.980  	40.118  	40.198  	0.00          	0.000   	0.000   	0.000   	1707.03       	36.801  	39.854  	39.688  	CatRobot_37
24789.64      	37.762  	45.769  	43.448  	355525.44     	39.624  	46.403  	44.133  	0.00          	0.000   	0.000   	0.000   	19621.89      	37.733  	45.759  	43.437  	DaylightRoad2_22
9564.99       	37.211  	45.015  	42.669  	113697.12     	37.834  	45.569  	43.174  	0.00          	0.000   	0.000   	0.000   	7937.93       	37.201  	45.006  	42.661  	DaylightRoad2_27
4675.00       	36.355  	43.963  	41.685  	64197.60      	37.179  	44.632  	42.186  	0.00          	0.000   	0.000   	0.000   	3744.96       	36.342  	43.952  	41.677  	DaylightRoad2_32
2484.67       	35.125  	42.640  	40.052  	36393.60      	36.178  	43.141  	40.252  	0.00          	0.000   	0.000   	0.000   	1954.85       	35.108  	42.633  	40.048  	DaylightRoad2_37
